"","Player","Pos","Age","Tm"
"381","Romeo Langford","SG",21,"BOS"
"382","Zach LaVine","SG",25,"CHI"
"383","Jake Layman","SF",26,"MIN"
"384","T.J. Leaf","PF",23,"POR"
"385","Jalen Lecque","PG",20,"IND"
"386","Damion Lee","SG",28,"GSW"
"387","Saben Lee","PG",21,"DET"
"388","Alex Len","C",27,"TOT"
"389","Alex Len","C",27,"TOR"
"390","Alex Len","C",27,"WAS"
"391","Kawhi Leonard","SF",29,"LAC"
"392","Meyers Leonard","C",28,"MIA"
"393","Caris LeVert","SG",26,"TOT"
"394","Caris LeVert","SG",26,"BRK"
"395","Caris LeVert","SG",26,"IND"
"396","Kira Lewis Jr.","PG",19,"NOP"
"397","Damian Lillard","PG",30,"POR"
"398","Nassir Little","PF",20,"POR"
"399","Kevon Looney","C",24,"GSW"
"400","Brook Lopez","C",32,"MIL"
"401","Robin Lopez","C",32,"WAS"
"402","Didi Louzada","SF",21,"NOP"
"403","Kevin Love","PF",32,"CLE"
"404","Kyle Lowry","PG",34,"TOR"
"405","Timothé Luwawu-Cabarrot","SF",25,"BRK"
"406","Trey Lyles","PF",25,"SAS"
"407","Will Magnay","C",22,"NOP"
"408","Thon Maker","C",23,"CLE"
"409","Théo Maledon","PG",19,"OKC"
"410","Karim Mané","PG",20,"ORL"
"411","Terance Mann","SG",24,"LAC"
"412","Nico Mannion","PG",19,"GSW"
"413","Boban Marjanović","C",32,"DAL"
"414","Lauri Markkanen","PF",23,"CHI"
"415","Naji Marshall","SF",23,"NOP"
"416","Caleb Martin","SF",25,"CHO"
"417","Cody Martin","SF",25,"CHO"
"418","Jeremiah Martin","PG",24,"CLE"
"419","Kelan Martin","SF",25,"IND"
"420","Kenyon Martin Jr.","SF",20,"HOU"
"421","Frank Mason III","PG",26,"ORL"
"422","Garrison Mathews","SG",24,"WAS"
"423","Dakota Mathias","SG",25,"PHI"
"424","Wesley Matthews","SG",34,"LAL"
"425","Tyrese Maxey","SG",20,"PHI"
"426","Skylar Mays","SG",23,"ATL"
"427","Patrick McCaw","SF",25,"TOR"
"428","CJ McCollum","SG",29,"POR"
"429","T.J. McConnell","PG",28,"IND"
"430","Jaden McDaniels","PF",20,"MIN"
"431","Jalen McDaniels","SF",23,"CHO"
"432","Doug McDermott","PF",29,"IND"
"433","Sean McDermott","SF",24,"MEM"
"434","JaVale McGee","C",33,"TOT"
"435","JaVale McGee","C",33,"CLE"
"436","JaVale McGee","C",33,"DEN"
"437","Rodney McGruder","SG",29,"DET"
"438","Alfonzo McKinnie","SF",28,"LAL"
"439","Jordan McLaughlin","PG",24,"MIN"
"440","Ben McLemore","SG",27,"TOT"
"441","Ben McLemore","SG",27,"HOU"
"442","Ben McLemore","SG",27,"LAL"
"443","Nicolò Melli","PF",30,"TOT"
"444","Nicolò Melli","PF",30,"NOP"
"445","Nicolò Melli","PF",30,"DAL"
"446","De'Anthony Melton","PG",22,"MEM"
"447","Sam Merrill","SG",24,"MIL"
"448","Chimezie Metu","C",23,"SAC"
"449","Khris Middleton","SF",29,"MIL"
"450","Darius Miller","SF",30,"OKC"
"451","Patty Mills","PG",32,"SAS"
"452","Paul Millsap","PF",35,"DEN"
"453","Shake Milton","SG",24,"PHI"
"454","Donovan Mitchell","PG",24,"UTA"
"455","Adam Mokoka","SG",22,"CHI"
"456","Malik Monk","SG",22,"CHO"
"457","E'Twaun Moore","SG",31,"PHO"
"458","Ja Morant","PG",21,"MEM"
"459","Juwan Morgan","PF",23,"UTA"
"460","Marcus Morris","PF",31,"LAC"
"461","Markieff Morris","PF",31,"LAL"
"462","Monte Morris","PG",25,"DEN"
"463","Mychal Mulder","PG",26,"GSW"
"464","Dejounte Murray","PG",24,"SAS"
"465","Jamal Murray","PG",23,"DEN"
"466","Mike Muscala","C",29,"OKC"
"467","Sviatoslav Mykhailiuk","SF-SG",23,"TOT"
"468","Sviatoslav Mykhailiuk","SF",23,"DET"
"469","Sviatoslav Mykhailiuk","SG",23,"OKC"
"470","Abdel Nader","SF",27,"PHO"
"471","Larry Nance Jr.","PF",28,"CLE"
"472","Aaron Nesmith","SF",21,"BOS"
"473","Raul Neto","PG",28,"WAS"
"474","Georges Niang","PF",27,"UTA"
"475","Zeke Nnaji","PF",20,"DEN"
"476","Nerlens Noel","C",26,"NYK"
"477","Jaylen Nowell","SG",21,"MIN"
"478","Frank Ntilikina","PG",22,"NYK"
"479","Kendrick Nunn","PG",25,"MIA"
"480","James Nunnally","SF",30,"NOP"
"481","Jusuf Nurkić","C",26,"POR"
"482","David Nwaba","SF",28,"HOU"
"483","Jordan Nwora","SF",22,"MIL"
"484","Royce O'Neale","SF",27,"UTA"
"485","Semi Ojeleye","PF",26,"BOS"
"486","Jahlil Okafor","C",25,"DET"
"487","Chuma Okeke","PF",22,"ORL"
"488","Josh Okogie","SG",22,"MIN"
"489","Onyeka Okongwu","C",20,"ATL"
"490","Isaac Okoro","SG",20,"CLE"
"491","KZ Okpala","PF",21,"MIA"
"492","Victor Oladipo","SG",28,"TOT"
"493","Victor Oladipo","SG",28,"IND"
"494","Victor Oladipo","SG",28,"HOU"
"495","Victor Oladipo","SG",28,"MIA"
"496","Cameron Oliver","SF",24,"HOU"
"497","Kelly Olynyk","C-PF",29,"TOT"
"498","Kelly Olynyk","C",29,"MIA"
"499","Kelly Olynyk","PF",29,"HOU"
"500","Miye Oni","SG",23,"UTA"
"501","Cedi Osman","SF",25,"CLE"
"502","Daniel Oturu","C",21,"LAC"
"503","Kelly Oubre Jr.","SF",25,"GSW"
"504","Jabari Parker","PF",25,"TOT"
"505","Jabari Parker","PF",25,"SAC"
"506","Jabari Parker","PF",25,"BOS"
"507","Eric Paschall","PF",24,"GSW"
"508","Anžejs Pasečņiks","C",25,"WAS"
"509","Patrick Patterson","PF",31,"LAC"
"510","Justin Patton","C",23,"HOU"
"511","Chris Paul","PG",35,"PHO"
"512","Cameron Payne","PG",26,"PHO"
"513","Elfrid Payton","PG",26,"NYK"
"514","Gary Payton II","PG",28,"GSW"
"515","Norvel Pelle","C",27,"TOT"
"516","Norvel Pelle","C",27,"BRK"
"517","Norvel Pelle","C",27,"SAC"
"518","Norvel Pelle","C",27,"NYK"
"519","Reggie Perry","PF",20,"BRK"
"520","Theo Pinson","SG",25,"NYK"
"521","Mason Plumlee","C",30,"DET"
"522","Jakob Poeltl","C",25,"SAS"
"523","Vincent Poirier","C",27,"PHI"
"524","Aleksej Pokusevski","PF",19,"OKC"
"525","Jordan Poole","SG",21,"GSW"
"526","Jontay Porter","PF",21,"MEM"
"527","Kevin Porter Jr.","SG",20,"HOU"
"528","Michael Porter Jr.","SF",22,"DEN"
"529","Otto Porter","SF-PF",27,"TOT"
"530","Otto Porter","SF",27,"CHI"
"531","Otto Porter","PF",27,"ORL"
"532","Bobby Portis","C",25,"MIL"
"533","Kristaps Porziņģis","C",25,"DAL"
"534","Dwight Powell","C",29,"DAL"
"535","Norman Powell","SG-SF",27,"TOT"
"536","Norman Powell","SG",27,"TOR"
"537","Norman Powell","SF",27,"POR"
"538","Taurean Prince","PF",26,"TOT"
"539","Taurean Prince","PF",26,"BRK"
"540","Taurean Prince","PF",26,"CLE"
"541","Payton Pritchard","SG",23,"BOS"
"542","Immanuel Quickley","PG",21,"NYK"
"543","Jahmi'us Ramsey","SG",19,"SAC"
"544","Chasson Randle","PG",27,"ORL"
"545","Julius Randle","PF",26,"NYK"
"546","Cam Reddish","SF",21,"ATL"
"547","J.J. Redick","SG",36,"TOT"
"548","J.J. Redick","SG",36,"NOP"
"549","J.J. Redick","SG",36,"DAL"
"550","Paul Reed","PF",21,"PHI"
"551","Naz Reid","C",21,"MIN"
"552","Cameron Reynolds","SF",25,"TOT"
"553","Cameron Reynolds","SF",25,"SAS"
"554","Cameron Reynolds","SF",25,"HOU"
"555","Nick Richards","PF",23,"CHO"
"556","Josh Richardson","SG",27,"DAL"
"557","Grant Riller","PG",23,"CHO"
"558","Austin Rivers","SG",28,"TOT"
"559","Austin Rivers","SG",28,"NYK"
"560","Austin Rivers","SG",28,"DEN"
"561","Andre Roberson","SG",29,"BRK"
"562","Duncan Robinson","SF",26,"MIA"
"563","Glenn Robinson III","SF",27,"SAC"
"564","Jerome Robinson","SG",23,"WAS"
"565","Justin Robinson","PG",23,"OKC"
"566","Mitchell Robinson","C",22,"NYK"
"567","Isaiah Roby","PF",22,"OKC"
"568","Rajon Rondo","PG",34,"TOT"
"569","Rajon Rondo","PG",34,"ATL"
"570","Rajon Rondo","PG",34,"LAC"
"571","Derrick Rose","PG",32,"TOT"
"572","Derrick Rose","PG",32,"DET"
"573","Derrick Rose","PG",32,"NYK"
"574","Terrence Ross","SG",29,"ORL"
"575","Terry Rozier","SG",26,"CHO"
"576","Ricky Rubio","PG",30,"MIN"
"577","D'Angelo Russell","PG",24,"MIN"
"578","Domantas Sabonis","PF",24,"IND"
"579","Luka Šamanić","PF",21,"SAS"
"580","JaKarr Sampson","PF",27,"IND"
"581","Dario Šarić","C",26,"PHO"
"582","Tomáš Satoranský","SG",29,"CHI"
"583","Dennis Schröder","SG",27,"LAL"
"584","Mike Scott","PF",32,"PHI"
"585","Jay Scrubb","SG",20,"LAC"
"586","Collin Sexton","SG",22,"CLE"
"587","Landry Shamet","SG",23,"BRK"
"588","Iman Shumpert","SG",30,"BRK"
"589","Pascal Siakam","PF",26,"TOR"
"590","Chris Silva","PF",24,"TOT"
"591","Chris Silva","PF",24,"MIA"
"592","Chris Silva","PF",24,"SAC"
"593","Ben Simmons","PG",24,"PHI"
"594","Anfernee Simons","SG",21,"POR"
"595","Deividas Sirvydis","SG",20,"DET"
"596","Alen Smailagić","PF",20,"GSW"
"597","Marcus Smart","PG",26,"BOS"
"598","Dennis Smith Jr.","PG",23,"TOT"
"599","Dennis Smith Jr.","PG",23,"NYK"
"600","Dennis Smith Jr.","PG",23,"DET"
"601","Ish Smith","PG",32,"WAS"
"602","Jalen Smith","PF",20,"PHO"
"603","Tony Snell","SG",29,"ATL"
"604","Ray Spalding","C",23,"HOU"
"605","Cassius Stanley","SG",21,"IND"
"606","Lamar Stevens","PF",23,"CLE"
"607","Isaiah Stewart","C",19,"DET"
"608","Max Strus","SF",24,"MIA"
"609","Edmond Sumner","SG",25,"IND"
"610","Jae'Sean Tate","SF",25,"HOU"
"611","Jayson Tatum","SF",22,"BOS"
"612","Jeff Teague","PG",32,"TOT"
"613","Jeff Teague","PG",32,"BOS"
"614","Jeff Teague","PG",32,"MIL"
"615","Garrett Temple","SG",34,"CHI"
